sample,population,count,total_count,percentage
sample00000,b_cell,10908,93214,11.7
sample00000,cd8_t_cell,24440,93214,26.22
sample00000,cd4_t_cell,20491,93214,21.98
sample00000,nk_cell,13864,93214,14.87
sample00000,monocyte,23511,93214,25.22
sample00001,b_cell,6777,100824,6.72
sample00001,cd8_t_cell,19407,100824,19.25
sample00001,cd4_t_cell,33459,100824,33.19
sample00001,nk_cell,18170,100824,18.02
sample00001,monocyte,23011,100824,22.82
sample00002,b_cell,9794,92822,10.55
sample00002,cd8_t_cell,22940,92822,24.71
sample00002,cd4_t_cell,24274,92822,26.15
sample00002,nk_cell,17482,92822,18.83
sample00002,monocyte,18332,92822,19.75
sample00003,b_cell,10081,93160,10.82
sample00003,cd8_t_cell,20271,93160,21.76
sample00003,cd4_t_cell,36157,93160,38.81
sample00003,nk_cell,14041,93160,15.07
sample00003,monocyte,12610,93160,13.54
sample00004,b_cell,4372,107903,4.05
sample00004,cd8_t_cell,33778,107903,31.3
sample00004,cd4_t_cell,38293,107903,35.49
sample00004,nk_cell,16527,107903,15.32
sample00004,monocyte,14933,107903,13.84
sample00005,b_cell,15431,105359,14.65
sample00005,cd8_t_cell,31940,105359,30.32
sample00005,cd4_t_cell,30805,105359,29.24
sample00005,nk_cell,11404,105359,10.82
sample00005,monocyte,15779,105359,14.98
sample00006,b_cell,5897,99774,5.91
sample00006,cd8_t_cell,31296,99774,31.37
sample00006,cd4_t_cell,28319,99774,28.38
sample00006,nk_cell,12656,99774,12.68
sample00006,monocyte,21606,99774,21.65
sample00007,b_cell,10403,98424,10.57
sample00007,cd8_t_cell,13504,98424,13.72
sample00007,cd4_t_cell,33870,98424,34.41
sample00007,nk_cell,22616,98424,22.98
sample00007,monocyte,18031,98424,18.32
sample00008,b_cell,8829,90353,9.77
sample00008,cd8_t_cell,26215,90353,29.01
sample00008,cd4_t_cell,21307,90353,23.58
sample00008,nk_cell,17624,90353,19.51
sample00008,monocyte,16378,90353,18.13
sample00009,b_cell,7650,95821,7.98
sample00009,cd8_t_cell,33334,95821,34.79
sample00009,cd4_t_cell,21097,95821,22.02
sample00009,nk_cell,18064,95821,18.85
sample00009,monocyte,15676,95821,16.36
sample00010,b_cell,13203,107537,12.28
sample00010,cd8_t_cell,21339,107537,19.84
sample00010,cd4_t_cell,27873,107537,25.92
sample00010,nk_cell,13209,107537,12.28
sample00010,monocyte,31913,107537,29.68
sample00011,b_cell,10621,89815,11.83
sample00011,cd8_t_cell,19786,89815,22.03
sample00011,cd4_t_cell,29391,89815,32.72
sample00011,nk_cell,13520,89815,15.05
sample00011,monocyte,16497,89815,18.37
sample00012,b_cell,14128,109579,12.89
sample00012,cd8_t_cell,21720,109579,19.82
sample00012,cd4_t_cell,40320,109579,36.8
sample00012,nk_cell,14609,109579,13.33
sample00012,monocyte,18802,109579,17.16
sample00013,b_cell,10681,109488,9.76
sample00013,cd8_t_cell,19994,109488,18.26
sample00013,cd4_t_cell,31697,109488,28.95
sample00013,nk_cell,25043,109488,22.87
sample00013,monocyte,22073,109488,20.16
sample00014,b_cell,6113,92904,6.58
sample00014,cd8_t_cell,25851,92904,27.83
sample00014,cd4_t_cell,27223,92904,29.3
sample00014,nk_cell,9254,92904,9.96
sample00014,monocyte,24463,92904,26.33
sample00015,b_cell,8261,102691,8.04
sample00015,cd8_t_cell,21523,102691,20.96
sample00015,cd4_t_cell,36217,102691,35.27
sample00015,nk_cell,15753,102691,15.34
